image,palette,x,y,w,h,px,py,priority,include
bomb-frames.png,bomb-palette.png,0,0,16,16,8,9,0,
bomb-frames.png,bomb-palette.png,16,0,16,16,8,9,0,
bomb-frames.png,bomb-palette.png,32,0,16,16,8,9,0,
bomb-frames.png,bomb-palette.png,48,0,16,16,8,9,0,
bomb-frames.png,bomb-palette.png,64,0,16,16,8,9,0,
bomb-frames.png,bomb-palette.png,80,0,16,16,8,9,0,
bomb-frames.png,bomb-palette.png,96,0,16,16,8,9,0,
bomb-frames.png,bomb-palette.png,112,0,16,16,8,9,0,
explosion-frames.png,bomb-palette.png,0,0,48,48,24,24,0,
explosion-frames.png,bomb-palette.png,48,0,48,48,24,24,0,
explosion-frames.png,bomb-palette.png,96,0,48,48,24,24,0,
explosion-frames.png,bomb-palette.png,144,0,48,48,24,24,0,
explosion-frames.png,bomb-palette.png,192,0,48,48,24,24,0,
explosion-frames.png,bomb-palette.png,240,0,48,48,24,24,0,
explosion-frames.png,bomb-palette.png,288,0,48,48,24,24,0,
explosion-frames.png,bomb-palette.png,336,0,48,48,24,24,0,
