image,palette,x,y,w,h,px,py,priority,include
main-frames.png,main-palette.png,0,0,16,16,0,0,0,
main-frames.png,main-palette.png,16,0,16,16,0,0,0,
main-frames.png,main-palette.png,32,0,16,16,0,0,0,
main-frames.png,main-palette.png,48,0,16,16,0,0,0,
main-frames.png,main-palette.png,64,0,16,16,0,0,0,
main-frames.png,main-palette.png,80,0,16,16,0,0,0,
main-frames.png,main-palette.png,96,0,16,16,0,0,0,
main-frames.png,main-palette.png,0,16,16,16,0,0,0,
main-frames.png,main-palette.png,16,16,16,16,0,0,0,
main-frames.png,main-palette.png,32,16,16,16,0,0,0,
main-frames.png,main-palette.png,48,16,16,16,0,0,0,
main-frames.png,main-palette.png,64,16,16,16,0,0,0,
main-frames.png,main-palette.png,80,16,16,16,0,0,0,
main-frames.png,main-palette.png,96,16,16,16,0,0,0,
